Recency,Frequency,Monetary,Last_Review,Labels,Last_Order
155,1,80.11,5.0,3,2018-05-15
60,1,105.22,5.0,3,2018-08-18
198,1,107.01,4.0,3,2018-04-02
91,1,148.57,5.0,3,2018-07-18
78,1,126.43,3.0,3,2018-07-31
185,1,93.37,5.0,3,2018-04-15
93,1,98.14,1.0,1,2018-07-16
106,1,125.12,5.0,3,2018-07-03
118,1,114.79,5.0,3,2018-06-21
79,1,141.94,1.0,1,2018-07-30
79,1,79.52,5.0,3,2018-07-30
112,1,129.19,5.0,3,2018-06-27
182,1,105.65,5.0,3,2018-04-18
137,1,109.5,5.0,3,2018-06-02
182,1,138.92,5.0,3,2018-04-18
149,1,102.17,3.0,3,2018-05-21
138,1,78.81,5.0,3,2018-06-01
178,1,87.76,5.0,3,2018-04-22
69,1,75.42,5.0,3,2018-08-09
116,1,112.77,5.0,3,2018-06-23
188,1,132.69,1.0,1,2018-04-12
62,1,108.21,3.0,3,2018-08-16
136,1,88.31,5.0,3,2018-06-03
119,1,94.74,5.0,3,2018-06-20
73,1,100.44,1.0,1,2018-08-05
83,1,110.66,5.0,3,2018-07-26
86,1,118.35,5.0,3,2018-07-23
135,1,83.57,5.0,3,2018-06-04
100,1,83.69,5.0,3,2018-07-09
162,1,128.64,5.0,3,2018-05-08
52,1,130.56,4.0,3,2018-08-26
162,1,128.48,1.0,1,2018-05-08
160,1,98.97,3.0,3,2018-05-10
72,1,86.99,2.0,1,2018-08-06
128,1,123.41,5.0,3,2018-06-11
118,1,92.01,2.0,1,2018-06-21
75,1,97.9,5.0,3,2018-08-03
63,1,103.26,5.0,3,2018-08-15
64,1,78.41,5.0,3,2018-08-14
195,1,91.45,5.0,3,2018-04-05
163,1,113.53,5.0,3,2018-05-07
155,1,138.72,3.0,3,2018-05-15
67,1,113.7,5.0,3,2018-08-11
132,1,114.47,5.0,3,2018-06-07
154,1,88.45,5.0,3,2018-05-16
69,1,142.9,5.0,3,2018-08-09
70,1,144.49,3.0,3,2018-08-08
